"ID","name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
432,"数据分析师 (MJ001038)","挖财","上海·洋泾","“带薪年假，员工旅游，五险一金，扁平管理”","数据分析","15","25","20","经验1-3年","不限","工具","D轮及以上","500-2000人"
433,"数据分析师","安我","上海·曹路","“五险一金、绩效奖金、节日福利、户外活动”","医疗健康","10","20","15","经验1-3年","本科","医疗丨健康","A轮","50-150人"
434,"数据分析/运营","金斧子","深圳·科技园","“良好的办公氛围、弹性工作制”","数据分析 营销策略","9","14","11.5","经验1-3年","本科","金融,移动互联网","D轮及以上","500-2000人"
435,"数据分析师","易我科技","成都·石羊","“宽松氛围、丰厚薪酬”","数据分析 可视化 商业","8","10","9","经验1-3年","本科","移动互联网,游戏","不需要融资","150-500人"
437,"数据分析师","金山办公软件","北京·上地","“免费三餐,免费健身房”","数据分析 SQL 商业 数据库","15","25","20","经验1-3年","本科","移动互联网","上市公司","2000人以上"
438,"数据分析","好未来","北京·中关村","“带薪年假，自助晚餐，弹性工时，灵活调休”","电商 数据库 BI","15","30","22.5","经验3-5年","不限","教育","上市公司","2000人以上"
440,"数据分析师","美团点评","北京·朝阳区","“发展空间大”","数据分析","15","30","22.5","经验3-5年","本科","消费生活","上市公司","2000人以上"
442,"数据分析","车好多集团","北京·大山子","“弹性工作，福利多多；”","汽车 移动互联网 数据运营 SQL 数据库","15","23","19","经验3-5年","本科","消费生活","D轮及以上","2000人以上"
444,"数据分析与运营","驰骛科技ChiefClouds","上海·徐汇区","“员工餐 年度体检 免费零食 不打卡”","数据分析 数据运营","6","10","8","经验3-5年","本科","数据服务,移动互联网","A轮","50-150人"
449,"数据分析师","小红书","上海·新天地","“数据分析,用户增长,社区电商,大牛多”","电商 社交","15","30","22.5","经验3-5年","本科","消费生活","D轮及以上","500-2000人"
450,"数据科学家 - 数据分析","Airbnb","北京·朝外","“硅谷独角兽,独角兽,纯英文办公”","ETL MySQL 数据分析 数据处理","30","50","40","经验3-5年","硕士","移动互联网","D轮及以上","2000人以上"
451,"数据分析师","字节跳动","上海·徐汇区","“免费三餐，租房补贴，休闲下午茶，扁平管理”","编辑","8","16","12","经验1-3年","本科","文娱丨内容","C轮","2000人以上"
454,"数据分析师（平台治理方向）","拼多多","上海·长宁区","“平台好,大牛多,薪资待遇佳”","游戏 大数据 数据挖掘 数据分析","15","30","22.5","经验1年以下","本科","电商,移动互联网","上市公司","2000人以上"
455,"数据分析师","美团点评","北京·朝阳区","“发展空间大”","数据分析","15","30","22.5","经验3-5年","本科","消费生活","上市公司","2000人以上"
456,"数据分析师","上海伦方网络科技有限公司","上海·潍坊","“双休，弹性工作制度，五险一金”","数据分析 商业 可视化","10","15","12.5","经验1-3年","本科","其他","天使轮","少于15人"
458,"数据分析师/数据挖掘","同花顺","杭州·余杭区","“海量数据、用户画像、业务数据驱动”","移动互联网 工具软件 数据分析","20","40","30","经验不限","本科","金融,电商","上市公司","2000人以上"
459,"数据分析与运营","驰骛科技ChiefClouds","上海·徐汇区","“员工餐 年度体检 免费零食 不打卡”","数据分析 数据运营","6","10","8","经验3-5年","本科","数据服务,移动互联网","A轮","50-150人"
460,"数据分析工程师","优彼致愿","成都·高新区","“5险1金 试用期全薪 周末双休”","MySQL 数据分析","5","9","7","经验3-5年","本科","移动互联网,教育","B轮","150-500人"
461,"数据分析师","个推","杭州·西溪","“16-18薪”","大数据","12","24","18","经验1-3年","本科","移动互联网","上市公司","500-2000人"
462,"数据分析师","艾格拉斯","深圳·科技园","“发展前景好 晋升空间大”","互联网金融 借贷","12","24","18","经验3-5年","本科","游戏","上市公司","150-500人"
463,"数据分析师","一览科技","北京·望京","“待遇优厚”","大数据 数据挖掘 数据分析","20","40","30","经验1-3年","本科","移动互联网,文娱丨内容","B轮","150-500人"
