"ID","name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
322,"0222OQ-数据分析师","平安人寿","上海·浦东新…","“五险一金,带薪年假,定期体检,免费班车”","大数据 电商 数据分析 SQL","15","30","22.5","经验1-3年","本科","金融","上市公司","2000人以上"
323,"数据分析师（北京）","高登世德金融科技","北京·望京","“五险一金 ,扁平管理,周末双休,专业培训”","数据分析","8","15","11.5","经验1-3年","本科","金融,数据服务","A轮","50-150人"
324,"数据分析师(商业方向，中高级）","一面数据","深圳·南山区","“大数据人工智能；名校系大牛；技术氛围浓”","大数据","10","20","15","经验1-3年","本科","移动互联网,数据服务","A轮","50-150人"
325,"数据分析师（经营管理）","即有分期","深圳·岗厦","“弹性上班 多多年假 新业务发展多”","大数据 互联网金融 数据挖掘 数据处理 Oracle MySQL","8","15","11.5","经验1-3年","本科","金融","D轮及以上","500-2000人"
326,"数据分析","上海你我贷互联网金融信息服务","上海·浦东新…","“纳斯达克上市公司 职位上升空间大”","年底双薪 节日礼物 技能培训 绩效奖金","15","25","20","经验1-3年","本科","金融","上市公司","500-2000人"
327,"23048-数据分析师","腾讯","北京·北京大…","“大平台,新领域,大咖多”","数据挖掘 数据分析","18","36","27","经验3-5年","本科","社交","上市公司","2000人以上"
328,"数据分析师（广告投放方向）","乐逗游戏","深圳·科技园","“上市公司；弹性工作制；员工福利”","数据挖掘 数据分析","11","18","14.5","经验1-3年","本科","游戏","上市公司","500-2000人"
329,"数据分析师","随行付金科","北京·北京大…","“六险一金 快速发展 团队旅行”","互联网金融 Oracle 数据分析 Hive","10","18","14","经验3-5年","本科","移动互联网,金融","未融资","150-500人"
330,"数据分析师","仁辉科技","上海·张江","“上市背景,发展潜力大,薪酬福利佳,领导好”","大数据 征信 数据分析 SPSS","13","20","16.5","经验3-5年","本科","金融","不需要融资","50-150人"
331,"数据分析师","字节跳动","北京·海淀区","“六险一金，弹性工作，租房补贴，带薪休假”","产品经理","20","40","30","经验3-5年","本科","文娱丨内容","C轮","2000人以上"
332,"数据分析师","北京链家","北京·酒仙桥","“时间灵活,领导好,工作环境好,氛围轻松”","房产服务 BI 数据分析 商业","13","20","16.5","经验1-3年","本科","房产家居","不需要融资","2000人以上"
333,"数据分析师","皇包车","北京·双井","“六险一金，定期体检，公司环境佳”","旅游","10","20","15","经验不限","不限","移动互联网,旅游","C轮","150-500人"
334,"数据分析师","嘿豆商城","杭州·下沙","“五险一金，餐补”","电商 数据分析","10","15","12.5","经验3-5年","本科","移动互联网,电商","未融资","150-500人"
335,"数据分析","KLOOK 客路旅行","深圳·上沙","“国际化平台、环境舒适、好玩有趣”","零食水果供应 带薪年假 绩效奖金 扁平管理","18","35","26.5","经验1-3年","本科","旅游","D轮及以上","500-2000人"
336,"数据分析师","极米科技","成都·高新区","“五险一金,绩效奖金,弹性工作,行业第一”","智能硬件 数据分析 数据运营 BI","12","18","15","经验5-10年","本科","电商,硬件","D轮及以上","500-2000人"
337,"数据分析师（商业化变现）","小影APP","杭州·天目山…","“团队开放 出海之王 福利完善 结果导向”","工具软件 移动互联网 数据分析 算法 数据挖掘","12","24","18","经验1-3年","本科","移动互联网,文娱丨内容","B轮","150-500人"
338,"数据分析师","小米","北京·清河","“上市公司 年终奖 餐补”","数据分析","25","49","37","经验不限","不限","硬件","D轮及以上","2000人以上"
339,"数据分析师（大数据AI行业）","绿湾科技","北京·海淀区","“弹性上下班/交通便利/下午茶/住房补贴”","数据分析 SPSS","20","40","30","经验5-10年","本科","企业服务,数据服务","B轮","150-500人"
340,"数据分析师","百融云创","北京·中关村","“带薪休假,年度旅游,五险一金,绩效奖励”","大数据","10","20","15","经验应届毕业生","本科","金融","C轮","500-2000人"
341,"数据分析师","有利网","成都·玉林","“大平台”","分析师","6","12","9","经验1-3年","大专","金融","不需要融资","2000人以上"
342,"数据分析师","希为科技","深圳·蔡屋围","“技术领先,14薪,团队优秀”","金融 数据分析 SQL","15","25","20","经验3-5年","本科","企业服务,金融","不需要融资","50-150人"
343,"数据分析师","Aibee","北京·海淀区","“带薪年假 商业保险”","SQL BI 可视化 数据分析","20","40","30","经验3-5年","本科","移动互联网,企业服务","A轮","150-500人"
344,"数据分析师","混沌大学","北京·海淀区","“弹性工作,六险一金,年度体检,学习氛围”","数据分析 SQL 数据库","15","30","22.5","经验3-5年","本科","移动互联网,教育","不需要融资","150-500人"
345,"数据分析师","蓝月亮","广州·黄埔区","“五险一金 周末双休 带薪年假”","数据分析","8","15","11.5","经验1-3年","本科","消费生活","不需要融资","2000人以上"
347,"数据分析师","皇包车","北京·双井","“带薪休假，年底多薪，定期体检，公司环境佳”","电商 旅游 BI","12","22","17","经验1-3年","本科","移动互联网,旅游","C轮","150-500人"
348,"数据分析师","鲸鱼集团","广州·海珠区","“薪资丰厚,公司发展迅”","游戏 广告营销 数据分析","15","25","20","经验3-5年","本科","游戏","不需要融资","150-500人"
349,"数据分析师","点触科技","厦门·思明区","“免费班车 免费早餐 免费体检 五险一金”","数据分析 数据挖掘 MySQL","10","20","15","经验3-5年","本科","游戏","上市公司","150-500人"
350,"数据分析师","光云科技","杭州·西兴","“弹性时间,六险一金,股票期权,年度旅游”","电商 广告营销 数据分析","15","25","20","经验3-5年","本科","电商,数据服务","不需要融资","500-2000人"
351,"数据分析师","百信银行","北京·朝阳区","“工作独立创新、薪酬待遇优厚可谈”","互联网金融 银行","20","30","25","经验3-5年","本科","金融","不需要融资","150-500人"
352,"0222P3-数据分析师","平安人寿","上海·浦东新…","“五险一金,带薪年假,定期体检,免费班车”","电商 大数据 数据分析 SQL","15","30","22.5","经验1-3年","本科","金融","上市公司","2000人以上"
353,"数据分析师-上海","神策数据","上海·静安区","“五险一金,午餐补助,补充医疗,14薪”","大数据 商业 BI 可视化 数据分析","15","30","22.5","经验不限","本科","数据服务","C轮","150-500人"
354,"数据分析工程师","数美","北京·望京","“大牛如云,技术氛围,大佬领投,待遇给力”","大数据 金融 数据挖掘 数据分析","20","40","30","经验1-3年","本科","企业服务,数据服务","B轮","150-500人"
355,"数据分析实习生 (MJ000998)","挖财","上海·塘桥","“公司平台,晋升空间,弹性工作,节假日福利”","数据分析","2","4","3","经验不限","不限","工具","D轮及以上","500-2000人"
356,"数据分析师","造作","北京·酒仙桥","“广阔空间,年轻团队,欢乐氛围”","电商 大数据 数据分析 SPSS","10","15","12.5","经验5-10年","本科","消费生活,电商","B轮","150-500人"
357,"数据分析师","苏州瑞鹏信息技术有限公司","苏州·独墅湖","“高速发展公司 大牛团队”","大数据 SPSS 数据分析 SQL","12","24","18","经验1-3年","硕士","移动互联网,数据服务","不需要融资","50-150人"
358,"数据分析","爱莲化妆品","广州·棠景","“高薪 平台优越 稳定发展”","大数据 电商","4","8","6","经验不限","不限","电商,其他","天使轮","50-150人"
359,"数据分析师","宏信金服","上海·浦东新…","“数据分析、业务策略分析”","互联网金融 风控 分析师 信用产品","15","25","20","经验1-3年","本科","金融","不需要融资","50-150人"
360,"数据分析师","途牛旅游网","南京·玄武区","“互联网”","金融 数据分析 SPSS","8","15","11.5","经验1-3年","本科","电商,旅游","上市公司","2000人以上"
361,"数据分析师","字节跳动","北京·海淀区","“六险一金，弹性工作，免费三餐，租房补贴”","数据分析","20","35","27.5","经验不限","本科","文娱丨内容","C轮","2000人以上"
362,"有品-数据分析师","小米","北京·西三旗","“发展空间大,绩效激励,每日餐补”","运营","15","30","22.5","经验3-5年","本科","硬件","D轮及以上","2000人以上"
363,"风险计量部-数据分析师","贝壳金服","北京·酒仙桥","“六险一金 带薪年假 节日福利”","数据分析","15","30","22.5","经验不限","本科","金融","未融资","500-2000人"
364,"游戏运营-数据分析师","零境网络","上海·虹梅路","“年度海外旅游，扁平化管理，帅哥美女”","游戏","8","13","10.5","经验3-5年","大专","游戏","不需要融资","50-150人"
365,"数据分析","红花朵朵","杭州·西溪","“快速成长，行业独角兽”","数据仓库 数据架构","12","20","16","经验3-5年","本科","移动互联网,教育","A轮","50-150人"
366,"数据分析师","唯医网","北京·朝阳区","“互联网医疗；发展前景好；医疗大数据；”","医疗健康 大数据 数据分析 BI","15","25","20","经验3-5年","本科","医疗健康","B轮","150-500人"
367,"数据分析师","马上金融","北京·华贸","“消费金融牌照 核心数据风控 年终奖”","风控","15","30","22.5","经验1-3年","本科","金融,移动互联网","不需要融资","2000人以上"
368,"数据分析师","微聚未来","北京·西北旺","“七险一金、15-20薪、牛人团队”","大数据","10","20","15","经验1-3年","本科","移动互联网,金融","不需要融资","500-2000人"
369,"数据分析(销售)","采筑","深圳·福田区","“发展空间大，平台好”","电商","10","15","12.5","经验3-5年","本科","电商","天使轮","50-150人"
370,"数据分析师","健康160（原就医160）","深圳·蛇口","“扁平化管理 团队氛围好”","数据分析 SPSS SQL BI","12","24","18","经验1-3年","本科","移动互联网","上市公司","500-2000人"
371,"数据分析师","共轨之家","上海·张江","“人工智能 技术前沿 氛围热情 待遇优厚”","SQL","10","20","15","经验1-3年","大专","移动互联网","A轮","150-500人"
372,"数据分析师","百果科技","深圳·深圳湾","“五险一金 五天七小时 调薪机制”","数据分析","10","20","15","经验5-10年","本科","移动互联网,电商","B轮","150-500人"
373,"产品运营-数据分析岗（线上精品棋牌手游）","嘉米游戏","广州·天河城","“五险一金,年终奖,员工旅游,绩效奖金”","游戏 产品运营 数据分析 游戏运营","8","16","12","经验3-5年","本科","移动互联网,游戏","不需要融资","50-150人"
374,"数据分析师","源梦伟业","北京·朝阳区","“扁平化管理，团队nice”","数据分析","10","20","15","经验1-3年","本科","移动互联网,数据服务","未融资","50-150人"
375,"数据分析师","蜻蜓FM","上海·东方路","“弹性工作，年轻化团队，行业领先平台”","大数据 金融 商业 数据分析","15","25","20","经验3-5年","本科","移动互联网","D轮及以上","150-500人"
376,"数据分析师","字节跳动","西安·莲湖区","“六险一金，弹性工作，餐补，租房补贴，带薪休假，休闲下午茶，扁平管理，团队氛围好”","扁平管理 弹性工作 大厨定制三餐 就近租房补贴","4","7","5.5","经验1-3年","本科","文娱丨内容","C轮","2000人以上"
377,"数据分析","采筑","深圳·香蜜湖","“五险一金/下午茶/生日会/地铁附近”","电商 运营","10","15","12.5","经验3-5年","本科","电商","天使轮","50-150人"
378,"数据运营/数据分析师","瑞小云","苏州·独墅湖","“五险一金、绩效奖金、年终多薪、年度旅游。”","大数据 互联网金融 运营 数据分析 产品运营 效果跟踪","10","20","15","经验3-5年","本科","移动互联网","不需要融资","15-50人"
379,"数据分析师","妙健康","北京·朝阳区","“六险一金，福利健全，平台发展前景好”","数据分析 数据运营","15","30","22.5","经验1-3年","本科","移动互联网","C轮","150-500人"
380,"数据分析师","玖富数科集团","北京·朝阳区","“五险一金、带薪年假、弹性工作、节日福利”","Hive MySQL Oracle","15","25","20","经验1-3年","本科","金融","D轮及以上","2000人以上"
381,"数据分析师","悦然心动","武汉·洪山区","“带薪出国游；千万级用户”","可视化 数据库 数据分析","10","20","15","经验不限","不限","社交,游戏","上市公司","150-500人"
382,"BI工程师/数据分析师","艾佳生活","南京·铁心桥","“BI,数据分析”","电商 大数据 BI 数据分析","15","20","17.5","经验3-5年","不限","电商","B轮","150-500人"
383,"数据分析师","赛迪信息","重庆·鸳鸯","“世界500强央企 大平台”","大数据 移动互联网 数据分析","6","12","9","经验1-3年","本科","移动互联网","不需要融资","500-2000人"
384,"数据分析师","格上出行","杭州·建设一…","“周末双休 五险一金 加班补助 员工旅游”","数据分析","8","10","9","经验1-3年","本科","移动互联网,企业服务","不需要融资","500-2000人"
385,"数据分析经理","自如网","北京·朝阳区","“绩效奖金,年底双薪,餐补,房补”","大数据 数据分析 SPSS","15","30","22.5","经验5-10年","本科","房产家居","A轮","2000人以上"
386,"数据分析师（高级）","申通快递","上海·重固","“五险一金 周末双休 大平台”","物流 数据分析","17","30","23.5","经验3-5年","本科","消费生活","上市公司","2000人以上"
387,"数据分析师","遥望网络","杭州·余杭区","“上市公司 福利好 BI 电商行业”","大数据 BI 数据分析 数据运营","8","10","9","经验1-3年","本科","移动互联网,游戏","上市公司","150-500人"
388,"数据分析师","美住","北京·望京","“五险一金,弹性工作,扁平管理,大牛带队”","电商 商业 BI","10","20","15","经验3-5年","本科","消费生活,电商","A轮","500-2000人"
389,"数据分析师","趣头条","上海·张江","“薪资待遇好，全年基本上15薪以上。”","电商 社交 数据分析 数据处理","20","40","30","经验3-5年","本科","文娱丨内容","上市公司","500-2000人"
390,"数据分析师","汇信科技","杭州·湖墅南…","“自主的工作，一流的福利”","大数据 企业服务 数据分析","15","20","17.5","经验3-5年","本科","移动互联网,电商","未融资","150-500人"
391,"数据分析师-电商方向","字节跳动","北京·海淀区","“六险一金，弹性工作，免费三餐，租房补贴”","产品","10","20","15","经验3-5年","本科","文娱丨内容","C轮","2000人以上"
392,"数据分析师（电商）","联蔚数据","上海·黄浦区","“深入业务，超nice的办公环境”","大数据 电商 商业 数据分析 数据运营","10","15","12.5","经验1-3年","本科","数据服务","不需要融资","150-500人"
393,"数据分析师","彩讯股份","北京·东城区","“大数据平台、五险一金、年终奖、司龄津贴”","节日礼物 技能培训 年度旅游 岗位晋升","15","20","17.5","经验3-5年","本科","移动互联网,消费生活","上市公司","500-2000人"
394,"数据分析师（行业频道）","汽车之家","北京·中关村","“优秀平台,绩效奖金,六险一金,出国游”","汽车 数据分析","15","25","20","经验3-5年","本科","汽车丨出行","上市公司","2000人以上"
395,"数据分析师","DataStory","广州·猎德","“高速发展,领导好,氛围好,业务导向”","广告营销 大数据 可视化 数据分析 SPSS","8","15","11.5","经验1-3年","本科","数据服务","B轮","150-500人"
396,"数据分析师（信息流业务方向）","爱奇艺","北京·三里屯","“团队氛围好，职业选择清晰”","商业 数据分析","10","20","15","经验3-5年","本科","文娱丨内容","上市公司","2000人以上"
397,"数据分析师","闪送","北京·海淀区","“扁平化 弹性工作”","数据分析","10","20","15","经验3-5年","不限","移动互联网","D轮及以上","500-2000人"
398,"数据分析师（文本数据建模）","上海浩宜信息科技有限公司","上海·花木","“做五休二，季度绩效、五险一金、定期团建”","信息安全 大数据 数据分析 数据仓库 数据架构 数据挖掘","5","8","6.5","经验1-3年","本科","数据服务,人工智能","不需要融资","150-500人"
399,"数据分析","迅雷","深圳·南山区","“大流量平台”","大数据 金融","15","30","22.5","经验3-5年","本科","工具","上市公司","500-2000人"
400,"数据分析岗","人人聚财","深圳·南山区","“团队氛围好，发展空间大，专业提升”","数据分析","8","15","11.5","经验1-3年","本科","金融","A轮","2000人以上"
401,"数据分析师","朴新网校","北京·中关村","“美国上市集团，热门行业，重点项目”","教育 决策能力 业务流程管理","16","24","20","经验不限","本科","教育","上市公司","2000人以上"
402,"数据分析师","还呗-智能信贷领先者","上海·张江","“移动金融,未来金矿,精英团队,助力成长”","数据分析 BI","15","30","22.5","经验3-5年","本科","金融","B轮","500-2000人"
403,"数据分析师（评分卡）","即有分期","深圳·岗厦","“多多年假 新业务发展多”","大数据 风控 策略设计 分析师","12","20","16","经验3-5年","本科","金融","D轮及以上","500-2000人"
404,"数据分析师","小回音","上海·凉城","“弹性工作,节日福利,五险一金,免费晚餐”","社交 数据分析","10","20","15","经验3-5年","不限","移动互联网,社交","未融资","15-50人"
405,"数据分析师","保险师 · 微易信息科技","杭州·文三路","“提升空间大,六险一金,周末双休,弹性时间”","数据分析","8","15","11.5","经验1-3年","本科","移动互联网,金融","B轮","150-500人"
406,"数据分析师","字节跳动","西安·莲湖区","“六险一金，弹性工作，餐补，租房补贴”","内容","6","11","8.5","经验3-5年","本科","文娱丨内容","C轮","2000人以上"
407,"数据分析（资金方向）","美利金融","北京·朝阳区","“氛围棒棒哒,帅哥美女多,专业大牛”","分析师","13","25","19","经验1-3年","本科","金融","B轮","2000人以上"
408,"数据分析师","贝壳","北京·海淀区","“福利好，成长高”","MySQL Scala 数据分析","30","50","40","经验3-5年","本科","房产家居","D轮及以上","2000人以上"
409,"数据分析师","泰康在线","北京·昌平区","“五险一金，年终奖，免费体检，免费班车”","数据分析","17","23","20","经验3-5年","本科","移动互联网,金融","不需要融资","500-2000人"
410,"数据分析师（咨询部）","个推","杭州·古墩路","“16-18薪，生日Par，餐补”","大数据 软件开发","10","15","12.5","经验不限","不限","移动互联网","上市公司","500-2000人"
411,"数据分析师","东莞美宜佳","东莞·东莞市…","“SQL,数据库”","大数据 数据挖掘 数据分析","6","10","8","经验1-3年","大专","其他","不需要融资","500-2000人"
412,"数据分析师（初级）","悦跑圈","广州·天河区","“五险一金，周末双休，公司氛围好”","体育 移动互联网 数据分析 数据运营 数据库","4","8","6","经验1年以下","本科","移动互联网","C轮","150-500人"
413,"数据分析","拼多多","上海·长宁区","“福利待遇好,晋升快,团队氛围好,公司潜力佳”","电商 BI SPSS","20","35","27.5","经验5-10年","本科","电商,移动互联网","上市公司","2000人以上"
414,"数据分析师","魅族","深圳·大冲","“发展平台大 工作氛围佳”","大数据 Hive 数据分析","10","15","12.5","经验1-3年","本科","移动互联网,硬件","A轮","2000人以上"
415,"数据分析师","链尚网","上海·静安区","“年底多薪，年假多。”","数据分析","10","15","12.5","经验1-3年","本科","电商","C轮","150-500人"
416,"数据分析师","CLPS","上海·张江","“待遇高,环境好,有前景”","电商 移动互联网 数据分析","15","22","18.5","经验1-3年","硕士","数据服务,金融","未融资","500-2000人"
417,"【外卖】产品运营-数据分析方向","美团点评","北京·朝阳区","“发展空间大”","数据","15","30","22.5","经验3-5年","本科","消费生活","上市公司","2000人以上"
418,"0221KM-数据分析岗","平安人寿","上海·陆家嘴","“五险一金,带薪年假,绩效奖金,定期体检”","其他 金融 保险","10","20","15","经验1-3年","本科","金融","上市公司","2000人以上"
419,"产品经理/数据分析师","碧桂园集团数字化管理中心","佛山·顺德区","“世界500强企业”","数据分析 产品设计 产品策划 交互设计","8","15","11.5","经验5-10年","本科","数据服务,房产家居","不需要融资","2000人以上"
